factor,IC_mean_train,ICIR_train,t_train,ICIR_test,t_test,ICIR_tr_半導體,ICIR_te_半導體,ICIR_tr_電子,ICIR_te_電子,ICIR_tr_生技,ICIR_te_生技,ICIR_tr_金融,ICIR_te_金融
g_mrev_1,0.0066909093099916,0.1297587827160614,1.2647321695662026,-0.1657624271178699,-1.4545593947269906,0.0955043836510444,0.1070634875379588,0.0095182778314993,-0.0543696966809063,-0.1733182185132911,-0.2727551216590263,0.1855866176177887,-0.1311184668515497
d_nwc_to_ta,0.0098335260528816,0.1259729508384646,0.9838801984591232,0.0584507454866472,0.5028123247772635,0.414398968399018,0.0231167083306742,-0.1009252035532175,0.0813830635845533,0.2592960491874708,-0.043763526936774,-0.077193400546865,0.0565472470275623
gp_to_rev,0.0091672639993632,0.1206846955682397,1.1575669347751265,-0.0395536616461111,-0.3470819723355829,0.116678167009762,-0.0419642149760969,0.2697525452604887,0.118418406608312,-0.0702207539541845,-0.0989141149926427,,
gross_margin,0.0091672639993632,0.1206846955682397,1.1575669347751265,-0.0395536616461111,-0.3470819723355829,0.116678167009762,-0.0419642149760969,0.2697525452604887,0.118418406608312,-0.0702207539541845,-0.0989141149926427,,
g_op_3,0.0085584039761505,0.1038710425136413,0.929050847817091,0.0402247974869438,0.3341322626860948,0.0860519711493481,0.1153845675132479,0.277642697216561,0.0090951211454649,0.0045714462283296,0.2653174336122846,0.0294287731295538,-0.0755070496979107
d_recv_turnover,0.0050125997046005,0.0975372954484183,0.810205625896322,0.0085462857997812,0.0749933535375555,0.0337462906985777,0.1006823947685893,0.0395934252202452,-0.0446133272634982,0.1064184417772692,-0.0700042974931898,,
g_rev_1,0.0057328718155542,0.0903122198653145,0.5108830647261945,0.1720056498677432,0.8770601651238307,0.0429825071170606,0.083541421994383,0.0887058307951953,0.0391057657251558,0.0850299302257246,-0.124816350251324,0.0238398617047105,0.190736227466804
capex_to_ta,-0.0056121640487577,-0.0853718158306514,-0.7683463424758625,0.141069321219311,1.2378782698530344,0.0826966293490411,0.1876384923044376,-0.1730627200625251,-0.0520099927578135,-0.1586966392495567,0.1191943029477316,,
liq_amt,-0.0098623315640043,-0.0813978784116072,-0.797533073014177,-0.0908148367620949,-0.7968969584342118,0.0364412884002509,-0.0142938391595125,-0.1935753402712794,-0.1322242868467166,-0.396649640951596,-0.3988508966920935,0.1652242364278716,0.1483867822114433
neg_size,-0.0075643045495138,-0.0751347141638357,-0.6762124274745217,-0.0343816911412667,-0.3016981153429308,-0.1715225069760377,-0.087359719065258,-0.0814784831705009,-0.0744636710594733,0.271855886698906,0.1111000827110576,-0.1071550417463041,-0.013629046579098
asset_turnover,0.0062939184909124,0.0740957702163196,0.6668619319468767,0.1490564468986668,1.3079650132470064,-0.0435530054362104,0.1365682283546469,0.4293858391101419,0.245136897677406,0.4321217846971595,0.3348380167034703,-0.2560267130517124,-0.0834547714420289
d_debt_ratio,-0.0036882823620939,-0.0671034961781795,-0.5240950592778301,0.0026849335943274,0.0230966720988146,-0.0028263285306112,-0.0271529582910483,0.1829895754076405,0.0357046122351042,-0.193908225864318,-0.0183886802011887,-0.049318935930958,0.0126399152350679
mom_3m,-0.0058524511940928,-0.0513928070160015,-0.4956142824894275,0.0562342707480622,0.4934537231652132,-0.1038176056246124,-0.0558449725811737,0.013182471921483,-0.1314999758337232,0.0038730260230158,-0.168915445340385,-0.0410310280894486,0.3047763147554534
mom_6m,0.003285582010786,0.0280718730156133,0.2663131707490729,0.0518315901956902,0.4548203581090849,-0.0230957426457001,-0.0585407761163901,0.1299945046643535,-0.156512468949782,0.1376982596666519,-0.1057343167075808,-0.0941842359229428,0.2372935232055409
rev_accel,0.0011443026970703,0.0208868094980356,0.1981496732034922,0.0103502021091122,0.0908226549097707,0.074073027248857,0.1858042320681964,0.0653783875617366,0.1249416969914396,-0.0396464064399781,-0.159330632027878,-0.0143686997980987,-0.0525484248514811
g_op_1,0.0013408644616544,0.014531616699462,0.0822032376783463,0.0446230577776161,0.2318682097797379,-0.0294526528417186,0.0591541261487075,0.1212993970738949,-0.2820372687164091,-0.0255509336537112,0.1679406741891634,0.0104352476579974,0.052800314854555
